frame,track_id,gender,gender_p,emotion,emotion_p
1,1,female,0.8667,natural,0.5967
2,1,female,0.8667,natural,0.5967
3,1,female,0.8667,natural,0.5967
4,1,female,0.8667,natural,0.5967
5,1,female,0.8667,natural,0.5967
6,1,female,0.8667,natural,0.5967
7,1,female,0.8667,natural,0.5967
8,1,female,0.8667,natural,0.5967
9,1,female,0.8667,natural,0.5967
10,1,female,0.8667,natural,0.5967
11,1,female,0.8667,natural,0.5967
12,1,female,0.8667,natural,0.5967
13,1,female,0.8667,natural,0.5967
14,1,female,0.8667,natural,0.5967
15,1,female,0.8667,natural,0.5967
16,1,female,0.8667,natural,0.5967
17,1,female,0.8667,natural,0.5967
18,1,female,0.8667,natural,0.5967
19,1,female,0.8667,natural,0.5967
20,1,female,0.8667,natural,0.5967
21,1,female,0.8667,natural,0.5967
22,1,female,0.8667,natural,0.5967
23,1,female,0.8667,natural,0.5967
24,1,female,0.8667,natural,0.5967
25,1,female,0.8667,natural,0.5967
26,1,female,0.8667,natural,0.5967
27,1,female,0.8667,natural,0.5967
28,1,female,0.8667,natural,0.5967
29,1,female,0.8667,natural,0.5967
30,1,female,0.8667,natural,0.5967
31,1,female,0.8667,natural,0.5967
32,1,female,0.8667,natural,0.5967
33,1,female,0.8667,natural,0.5967
34,1,female,0.8667,natural,0.5967
35,1,female,0.8667,natural,0.5967
36,1,female,0.8667,natural,0.5967
37,1,female,0.8667,natural,0.5967
38,1,female,0.8667,natural,0.5967
39,1,female,0.8667,natural,0.5967
40,1,female,0.8667,natural,0.5967
41,1,female,0.8667,natural,0.5967
42,1,female,0.8667,natural,0.5967
43,1,female,0.8667,natural,0.5967
44,1,female,0.8667,natural,0.5967
45,1,female,0.8667,natural,0.5967
46,1,female,0.8667,natural,0.5967
47,1,female,0.8667,natural,0.5967
48,1,female,0.8667,natural,0.5967
49,1,female,0.8667,natural,0.5967
50,1,female,0.8667,natural,0.5967
51,1,male,0.9718,sad,0.6680
52,1,male,0.9718,sad,0.6680
53,1,male,0.9718,sad,0.6680
54,1,male,0.9718,sad,0.6680
55,1,male,0.9718,sad,0.6680
56,1,male,0.9718,sad,0.6680
57,1,male,0.9718,sad,0.6680
58,1,male,0.9718,sad,0.6680
59,1,male,0.9718,sad,0.6680
60,1,male,0.9718,sad,0.6680
61,1,male,0.9718,sad,0.6680
62,1,male,0.9718,sad,0.6680
63,1,male,0.9718,sad,0.6680
64,1,male,0.9718,sad,0.6680
65,1,male,0.9718,sad,0.6680
66,1,male,0.9718,sad,0.6680
67,1,male,0.9718,sad,0.6680
68,1,male,0.9718,sad,0.6680
69,1,male,0.9718,sad,0.6680
70,1,male,0.9718,sad,0.6680
71,1,male,0.9718,sad,0.6680
72,1,male,0.9718,sad,0.6680
73,1,male,0.9718,sad,0.6680
74,1,male,0.9718,sad,0.6680
75,1,male,0.9718,sad,0.6680
76,1,male,0.9718,sad,0.6680
77,1,male,0.9718,sad,0.6680
78,1,male,0.9718,sad,0.6680
79,1,male,0.9718,sad,0.6680
80,1,male,0.9718,sad,0.6680
81,1,male,0.9718,sad,0.6680
82,1,male,0.9718,sad,0.6680
83,1,male,0.9718,sad,0.6680
84,1,male,0.9718,sad,0.6680
85,1,male,0.9718,sad,0.6680
86,1,male,0.9718,sad,0.6680
87,1,male,0.9718,sad,0.6680
88,1,male,0.9718,sad,0.6680
89,1,male,0.9718,sad,0.6680
90,1,male,0.9718,sad,0.6680
91,1,male,0.9718,sad,0.6680
92,1,male,0.9718,sad,0.6680
93,1,male,0.9718,sad,0.6680
94,1,male,0.9718,sad,0.6680
95,1,male,0.9718,sad,0.6680
96,1,male,0.9718,sad,0.6680
97,1,male,0.9718,sad,0.6680
98,1,male,0.9718,sad,0.6680
99,1,male,0.9718,sad,0.6680
100,1,male,0.9718,sad,0.6680
101,1,male,0.7749,sad,0.7479
102,1,male,0.7749,sad,0.7479
103,1,male,0.7749,sad,0.7479
104,1,male,0.7749,sad,0.7479
105,1,male,0.7749,sad,0.7479
106,1,male,0.7749,sad,0.7479
107,1,male,0.7749,sad,0.7479
108,1,male,0.7749,sad,0.7479
109,1,male,0.7749,sad,0.7479
110,1,male,0.7749,sad,0.7479
111,1,male,0.7749,sad,0.7479
112,1,male,0.7749,sad,0.7479
113,1,male,0.7749,sad,0.7479
114,1,male,0.7749,sad,0.7479
115,1,male,0.7749,sad,0.7479
116,1,male,0.7749,sad,0.7479
117,1,male,0.7749,sad,0.7479
118,1,male,0.7749,sad,0.7479
119,1,male,0.7749,sad,0.7479
120,1,male,0.7749,sad,0.7479
121,1,male,0.7749,sad,0.7479
