frame,track_id,gender,gender_p,emotion,emotion_p
1,1,female,0.7241,sad,0.7534
1,2,female,0.8336,sad,0.6639
2,1,female,0.7241,sad,0.7534
2,2,female,0.7495,sad,0.6119
3,1,female,0.7241,sad,0.7534
3,2,female,0.7495,sad,0.6119
4,1,female,0.7241,sad,0.7534
4,2,female,0.7495,sad,0.6119
5,1,female,0.7241,sad,0.7534
5,2,female,0.7495,sad,0.6119
6,1,female,0.7241,sad,0.7534
6,2,female,0.7495,sad,0.6119
7,1,female,0.7241,sad,0.7534
7,2,female,0.7495,sad,0.6119
8,1,female,0.7241,sad,0.7534
8,2,female,0.7495,sad,0.6119
9,1,female,0.7241,sad,0.7534
9,2,female,0.7495,sad,0.6119
9,3,male,0.6671,sad,0.9801
10,1,female,0.7241,sad,0.7534
10,2,female,0.7495,sad,0.6119
10,3,male,0.6671,sad,0.9801
11,1,female,0.7241,sad,0.7534
11,2,female,0.7495,sad,0.6119
11,3,male,0.6671,sad,0.9801
12,1,female,0.7241,sad,0.7534
12,2,female,0.7495,sad,0.6119
12,3,male,0.6671,sad,0.9801
13,1,female,0.7241,sad,0.7534
13,2,female,0.7495,sad,0.6119
13,3,male,0.6671,sad,0.9801
14,1,female,0.7241,sad,0.7534
14,3,male,0.6671,sad,0.9801
14,2,female,0.7495,sad,0.6119
15,1,female,0.7241,sad,0.7534
15,3,male,0.6671,sad,0.9801
15,2,female,0.7495,sad,0.6119
16,1,female,0.7241,sad,0.7534
16,3,male,0.6671,sad,0.9801
16,2,female,0.7495,sad,0.6119
17,1,female,0.7241,sad,0.7534
17,3,male,0.6671,sad,0.9801
17,2,female,0.7495,sad,0.6119
18,1,female,0.7241,sad,0.7534
18,3,male,0.6671,sad,0.9801
18,2,female,0.7495,sad,0.6119
19,1,female,0.7241,sad,0.7534
19,3,male,0.6671,sad,0.9801
19,2,female,0.7495,sad,0.6119
20,1,female,0.7241,sad,0.7534
20,3,male,0.6671,sad,0.9801
20,2,female,0.7495,sad,0.6119
21,1,female,0.7241,sad,0.7534
21,3,male,0.6671,sad,0.9801
21,2,female,0.7495,sad,0.6119
22,1,female,0.7241,sad,0.7534
22,3,male,0.6671,sad,0.9801
22,2,female,0.7495,sad,0.6119
23,1,female,0.7241,sad,0.7534
23,3,male,0.6671,sad,0.9801
23,2,female,0.7495,sad,0.6119
24,1,female,0.7241,sad,0.7534
24,3,male,0.6671,sad,0.9801
24,2,female,0.7495,sad,0.6119
25,1,female,0.7241,sad,0.7534
25,3,male,0.6671,sad,0.9801
25,2,female,0.7495,sad,0.6119
26,1,female,0.7241,sad,0.7534
26,3,male,0.6671,sad,0.9801
26,2,female,0.7495,sad,0.6119
27,1,female,0.7241,sad,0.7534
27,3,male,0.6671,sad,0.9801
27,2,female,0.7495,sad,0.6119
