frame,track_id,gender,gender_p,emotion,emotion_p
3,1,male,0.9988,sad,0.5388
3,2,female,0.9710,fear,0.4356
3,3,male,0.7482,sad,1.0000
4,1,male,0.9988,sad,0.5388
4,2,female,0.9710,fear,0.4356
4,3,male,0.7482,sad,1.0000
5,1,male,0.9988,sad,0.5388
5,2,female,0.9710,fear,0.4356
5,3,male,0.7482,sad,1.0000
6,1,male,0.9988,sad,0.5388
6,2,female,0.9710,fear,0.4356
6,3,male,0.7482,sad,1.0000
7,1,male,0.9988,sad,0.5388
7,2,female,0.9710,fear,0.4356
7,3,male,0.7482,sad,1.0000
8,1,male,0.9988,sad,0.5388
8,2,female,0.9710,fear,0.4356
8,3,male,0.7482,sad,1.0000
9,1,male,0.9988,sad,0.5388
9,2,female,0.9710,fear,0.4356
9,3,male,0.7482,sad,1.0000
10,1,male,0.9988,sad,0.5388
10,2,female,0.9710,fear,0.4356
10,3,male,0.7482,sad,1.0000
11,1,male,0.9988,sad,0.5388
11,2,female,0.9710,fear,0.4356
11,3,male,0.7482,sad,1.0000
12,1,male,0.9988,sad,0.5388
12,2,female,0.9710,fear,0.4356
12,3,male,0.7482,sad,1.0000
13,1,male,0.9988,sad,0.5388
13,2,female,0.9710,fear,0.4356
13,3,male,0.7482,sad,1.0000
14,1,male,0.9988,sad,0.5388
14,2,female,0.9710,fear,0.4356
14,3,male,0.7482,sad,1.0000
15,1,male,0.9988,sad,0.5388
15,2,female,0.9710,fear,0.4356
15,3,male,0.7482,sad,1.0000
16,1,male,0.9988,sad,0.5388
16,2,female,0.9710,fear,0.4356
16,3,male,0.7482,sad,1.0000
17,1,male,0.9988,sad,0.5388
17,2,female,0.9710,fear,0.4356
18,1,male,0.9988,sad,0.5388
18,2,female,0.9710,fear,0.4356
19,1,male,0.9988,sad,0.5388
19,2,female,0.9710,fear,0.4356
20,1,male,0.9988,sad,0.5388
20,2,female,0.9710,fear,0.4356
21,1,male,0.9988,sad,0.5388
21,2,female,0.9710,fear,0.4356
