frame,track_id,gender,gender_p,emotion,emotion_p
1,1,female,0.8664,natural,0.5962
2,1,female,0.8664,natural,0.5962
3,1,female,0.8664,natural,0.5962
4,1,female,0.8664,natural,0.5962
5,1,female,0.8664,natural,0.5962
6,1,female,0.8664,natural,0.5962
7,1,female,0.8664,natural,0.5962
8,1,female,0.8664,natural,0.5962
9,1,female,0.8664,natural,0.5962
10,1,female,0.8664,natural,0.5962
11,1,female,0.8664,natural,0.5962
12,1,female,0.8664,natural,0.5962
13,1,female,0.8664,natural,0.5962
14,1,female,0.8664,natural,0.5962
15,1,female,0.8664,natural,0.5962
16,1,female,0.8664,natural,0.5962
17,1,female,0.8664,natural,0.5962
18,1,female,0.8664,natural,0.5962
19,1,female,0.8664,natural,0.5962
20,1,female,0.8664,natural,0.5962
21,1,female,0.8664,natural,0.5962
22,1,female,0.8664,natural,0.5962
23,1,female,0.8664,natural,0.5962
24,1,female,0.8664,natural,0.5962
25,1,female,0.8664,natural,0.5962
26,1,female,0.8664,natural,0.5962
27,1,female,0.8664,natural,0.5962
28,1,female,0.8664,natural,0.5962
29,1,female,0.8664,natural,0.5962
30,1,female,0.8664,natural,0.5962
31,1,female,0.8664,natural,0.5962
32,1,female,0.8664,natural,0.5962
33,1,female,0.8664,natural,0.5962
34,1,female,0.8664,natural,0.5962
35,1,female,0.8664,natural,0.5962
36,1,female,0.8664,natural,0.5962
37,1,female,0.8664,natural,0.5962
38,1,female,0.8664,natural,0.5962
39,1,female,0.8664,natural,0.5962
40,1,female,0.8664,natural,0.5962
41,1,female,0.8664,natural,0.5962
42,1,female,0.8664,natural,0.5962
43,1,female,0.8664,natural,0.5962
44,1,female,0.8664,natural,0.5962
45,1,female,0.8664,natural,0.5962
46,1,female,0.8664,natural,0.5962
47,1,female,0.8664,natural,0.5962
48,1,female,0.8664,natural,0.5962
49,1,female,0.8664,natural,0.5962
50,1,female,0.8664,natural,0.5962
51,1,male,0.9718,sad,0.6682
52,1,male,0.9718,sad,0.6682
53,1,male,0.9718,sad,0.6682
54,1,male,0.9718,sad,0.6682
55,1,male,0.9718,sad,0.6682
56,1,male,0.9718,sad,0.6682
57,1,male,0.9718,sad,0.6682
58,1,male,0.9718,sad,0.6682
59,1,male,0.9718,sad,0.6682
60,1,male,0.9718,sad,0.6682
61,1,male,0.9718,sad,0.6682
62,1,male,0.9718,sad,0.6682
63,1,male,0.9718,sad,0.6682
64,1,male,0.9718,sad,0.6682
65,1,male,0.9718,sad,0.6682
66,1,male,0.9718,sad,0.6682
67,1,male,0.9718,sad,0.6682
68,1,male,0.9718,sad,0.6682
69,1,male,0.9718,sad,0.6682
70,1,male,0.9718,sad,0.6682
71,1,male,0.9718,sad,0.6682
72,1,male,0.9718,sad,0.6682
73,1,male,0.9718,sad,0.6682
74,1,male,0.9718,sad,0.6682
75,1,male,0.9718,sad,0.6682
76,1,male,0.9718,sad,0.6682
77,1,male,0.9718,sad,0.6682
78,1,male,0.9718,sad,0.6682
79,1,male,0.9718,sad,0.6682
80,1,male,0.9718,sad,0.6682
81,1,male,0.9718,sad,0.6682
82,1,male,0.9718,sad,0.6682
83,1,male,0.9718,sad,0.6682
84,1,male,0.9718,sad,0.6682
85,1,male,0.9718,sad,0.6682
86,1,male,0.9718,sad,0.6682
87,1,male,0.9718,sad,0.6682
88,1,male,0.9718,sad,0.6682
89,1,male,0.9718,sad,0.6682
90,1,male,0.9718,sad,0.6682
91,1,male,0.9718,sad,0.6682
92,1,male,0.9718,sad,0.6682
93,1,male,0.9718,sad,0.6682
94,1,male,0.9718,sad,0.6682
95,1,male,0.9718,sad,0.6682
96,1,male,0.9718,sad,0.6682
97,1,male,0.9718,sad,0.6682
98,1,male,0.9718,sad,0.6682
99,1,male,0.9718,sad,0.6682
100,1,male,0.9718,sad,0.6682
101,1,male,0.7749,sad,0.7479
102,1,male,0.7749,sad,0.7479
103,1,male,0.7749,sad,0.7479
104,1,male,0.7749,sad,0.7479
105,1,male,0.7749,sad,0.7479
106,1,male,0.7749,sad,0.7479
107,1,male,0.7749,sad,0.7479
108,1,male,0.7749,sad,0.7479
109,1,male,0.7749,sad,0.7479
110,1,male,0.7749,sad,0.7479
111,1,male,0.7749,sad,0.7479
112,1,male,0.7749,sad,0.7479
113,1,male,0.7749,sad,0.7479
114,1,male,0.7749,sad,0.7479
115,1,male,0.7749,sad,0.7479
116,1,male,0.7749,sad,0.7479
117,1,male,0.7749,sad,0.7479
118,1,male,0.7749,sad,0.7479
119,1,male,0.7749,sad,0.7479
120,1,male,0.7749,sad,0.7479
121,1,male,0.7749,sad,0.7479
