frame,track_id,gender,gender_p,emotion,emotion_p
1,1,female,0.7241,sad,0.7535
1,2,female,0.8338,sad,0.6640
2,1,female,0.7241,sad,0.7535
2,2,female,0.7496,sad,0.6116
3,1,female,0.7241,sad,0.7535
3,2,female,0.7496,sad,0.6116
4,1,female,0.7241,sad,0.7535
4,2,female,0.7496,sad,0.6116
5,1,female,0.7241,sad,0.7535
5,2,female,0.7496,sad,0.6116
6,1,female,0.7241,sad,0.7535
6,2,female,0.7496,sad,0.6116
7,1,female,0.7241,sad,0.7535
7,2,female,0.7496,sad,0.6116
8,1,female,0.7241,sad,0.7535
8,2,female,0.7496,sad,0.6116
9,1,female,0.7241,sad,0.7535
9,2,female,0.7496,sad,0.6116
9,3,male,0.6672,sad,0.9801
10,1,female,0.7241,sad,0.7535
10,2,female,0.7496,sad,0.6116
10,3,male,0.6672,sad,0.9801
11,1,female,0.7241,sad,0.7535
11,2,female,0.7496,sad,0.6116
11,3,male,0.6672,sad,0.9801
12,1,female,0.7241,sad,0.7535
12,2,female,0.7496,sad,0.6116
12,3,male,0.6672,sad,0.9801
13,1,female,0.7241,sad,0.7535
13,2,female,0.7496,sad,0.6116
13,3,male,0.6672,sad,0.9801
14,1,female,0.7241,sad,0.7535
14,3,male,0.6672,sad,0.9801
14,2,female,0.7496,sad,0.6116
15,1,female,0.7241,sad,0.7535
15,3,male,0.6672,sad,0.9801
15,2,female,0.7496,sad,0.6116
16,1,female,0.7241,sad,0.7535
16,3,male,0.6672,sad,0.9801
16,2,female,0.7496,sad,0.6116
17,1,female,0.7241,sad,0.7535
17,3,male,0.6672,sad,0.9801
17,2,female,0.7496,sad,0.6116
18,1,female,0.7241,sad,0.7535
18,3,male,0.6672,sad,0.9801
18,2,female,0.7496,sad,0.6116
19,1,female,0.7241,sad,0.7535
19,3,male,0.6672,sad,0.9801
19,2,female,0.7496,sad,0.6116
20,1,female,0.7241,sad,0.7535
20,3,male,0.6672,sad,0.9801
20,2,female,0.7496,sad,0.6116
21,1,female,0.7241,sad,0.7535
21,3,male,0.6672,sad,0.9801
21,2,female,0.7496,sad,0.6116
22,1,female,0.7241,sad,0.7535
22,3,male,0.6672,sad,0.9801
22,2,female,0.7496,sad,0.6116
23,1,female,0.7241,sad,0.7535
23,3,male,0.6672,sad,0.9801
23,2,female,0.7496,sad,0.6116
24,1,female,0.7241,sad,0.7535
24,3,male,0.6672,sad,0.9801
24,2,female,0.7496,sad,0.6116
25,1,female,0.7241,sad,0.7535
25,3,male,0.6672,sad,0.9801
25,2,female,0.7496,sad,0.6116
26,1,female,0.7241,sad,0.7535
26,3,male,0.6672,sad,0.9801
26,2,female,0.7496,sad,0.6116
27,1,female,0.7241,sad,0.7535
27,3,male,0.6672,sad,0.9801
27,2,female,0.7496,sad,0.6116
28,1,female,0.7241,sad,0.7535
28,3,male,0.6672,sad,0.9801
28,2,female,0.7496,sad,0.6116
29,1,female,0.7241,sad,0.7535
